table_schema,table_name,ordinal_position,column_name,data_type,is_nullable,column_default
public,pbx_audit_log,6,occurred_at,timestamp with time zone,NO,now()
public,pbx_instances,1,id,bigint,NO,nextval('pbx_instances_id_seq'::regclass)
public,pbx_instances,2,customer_slug,text,NO,
public,pbx_instances,3,name,text,NO,
public,pbx_instances,4,base_url,text,NO,
public,pbx_instances,5,enabled,boolean,NO,true
public,pbx_instances,6,created_at,timestamp with time zone,NO,now()
public,pbx_maintenance_windows,1,id,bigint,NO,nextval('pbx_maintenance_windows_id_seq'::regclass)
public,pbx_maintenance_windows,2,pbx_id,bigint,NO,
public,pbx_maintenance_windows,3,start_ts,timestamp with time zone,NO,
public,pbx_maintenance_windows,4,end_ts,timestamp with time zone,NO,
public,pbx_maintenance_windows,5,reason,text,YES,
public,pbx_maintenance_windows,6,created_by,text,YES,
public,pbx_maintenance_windows,7,created_at,timestamp with time zone,NO,now()
public,pbx_metric_latest,1,pbx_id,bigint,NO,
public,pbx_metric_latest,2,metric_name,text,NO,
public,pbx_metric_latest,3,ts,timestamp with time zone,NO,
public,pbx_metric_latest,4,value_num,double precision,YES,
public,pbx_metric_latest,5,value_json,jsonb,YES,
public,pbx_poll_targets,1,id,integer,YES,
public,pbx_poll_targets,2,display_name,text,YES,
public,pbx_poll_targets,3,customer_name,text,YES,
public,pbx_poll_targets,4,environment,text,YES,
public,pbx_poll_targets,5,enabled,boolean,YES,
public,pbx_poll_targets,6,maintenance_mode,boolean,YES,
public,pbx_poll_targets,7,maintenance_reason,text,YES,
public,pbx_poll_targets,8,maintenance_until,timestamp with time zone,YES,
public,pbx_poll_targets,9,maintenance_window_id,bigint,YES,
public,pbx_poll_targets,10,pbx_fqdn,text,YES,
public,pbx_poll_targets,11,api_base_url,text,YES,
public,pbx_poll_targets,12,timezone,text,YES,
public,pbx_poll_targets,13,poll_interval_seconds,integer,YES,
public,pbx_poll_targets,14,secrets_ref,text,YES,
public,pbx_poll_targets,15,created_at,timestamp with time zone,YES,
public,pbx_poll_targets,16,updated_at,timestamp with time zone,YES,
public,pbx_status_events,1,id,bigint,NO,nextval('pbx_status_events_id_seq'::regclass)
public,pbx_status_events,2,pbx_id,bigint,NO,
public,pbx_status_events,3,ts,timestamp with time zone,NO,
public,pbx_status_events,4,status,text,NO,
public,pbx_status_events,5,is_heartbeat,boolean,NO,false
public,pbx_status_events,6,error,jsonb,YES,
public,pbx_status_latest,1,pbx_id,bigint,NO,
public,pbx_status_latest,2,status,text,NO,
public,pbx_status_latest,3,last_seen_ts,timestamp with time zone,NO,
public,pbx_status_latest,4,last_change_ts,timestamp with time zone,NO,
public,pbx_status_latest,5,last_error,jsonb,YES,
public,pbx_system_flags,1,pbx_id,integer,NO,
public,pbx_system_flags,2,is_multicompany,boolean,NO,
public,pbx_system_flags,3,last_checked_utc,timestamp with time zone,NO,now()
public,pbx_systems,1,id,integer,NO,
public,pbx_systems,2,display_name,text,NO,''::text
public,pbx_systems,3,customer_name,text,YES,
public,pbx_systems,4,environment,text,YES,
public,pbx_systems,5,enabled,boolean,NO,true
public,pbx_systems,6,maintenance_mode,boolean,NO,false
public,pbx_systems,7,maintenance_reason,text,YES,
public,pbx_systems,8,maintenance_until,timestamp with time zone,YES,
public,pbx_systems,9,maintenance_window_id,bigint,YES,
public,pbx_systems,10,pbx_fqdn,text,YES,
public,pbx_systems,11,api_base_url,text,YES,
public,pbx_systems,12,timezone,text,YES,
public,pbx_systems,13,poll_interval_seconds,integer,YES,
public,pbx_systems,14,secrets_ref,text,YES,
public,pbx_systems,15,created_at,timestamp with time zone,NO,now()
public,pbx_systems,16,updated_at,timestamp with time zone,NO,now()
public,pbx_systems,17,is_multi_tenant,boolean,NO,false
public,pbx_systems,18,customer_slug,text,YES,
public,pbx_uptime_monthly,1,pbx_id,bigint,NO,
public,pbx_uptime_monthly,2,month_start,date,NO,
public,pbx_uptime_monthly,3,observed_seconds,bigint,NO,
public,pbx_uptime_monthly,4,up_seconds_raw,bigint,NO,
public,pbx_uptime_monthly,5,down_seconds_raw,bigint,NO,
public,pbx_uptime_monthly,6,unknown_seconds,bigint,NO,
public,pbx_uptime_monthly,7,maint_overlap_seconds,bigint,NO,
public,pbx_uptime_monthly,8,down_seconds_sla,bigint,NO,
public,pbx_uptime_monthly,9,uptime_pct_raw,numeric,NO,
public,pbx_uptime_monthly,10,uptime_pct_sla,numeric,NO,
public,pbx_uptime_monthly,11,computed_at,timestamp with time zone,NO,now()
public,rollup_state,1,name,text,NO,
public,rollup_state,2,last_rolled_ts,timestamp with time zone,NO,'1970-01-01 00:00:00+00'::timestamp with time zone
public,stg_breeze_numbers,1,account_id,text,YES,
public,stg_breeze_numbers,2,did,text,YES,
public,system_metadata,1,key,text,NO,
public,system_metadata,2,value,text,YES,
public,system_metadata,3,created_at,timestamp without time zone,YES,now()
public,trunk_concurrency_allocations,1,id,bigint,NO,nextval('trunk_concurrency_allocations_id_seq'::regclass)
public,trunk_concurrency_allocations,2,carrier_name,text,NO,
