module_id,halo_customer_id,module_type,external_key,enabled,config_version,created_by,created_at,updated_by,updated_at
b967b9c0-1eb9-4485-bc85-39114d542cb2,12,TRUNK,8tfwnrk,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
95a4a376-f75a-47c1-b9b8-28f79b08c0a0,43,TRUNK,ugcc3x2,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
cb6915dd-f9f8-470e-88f0-dcbeace0fbb7,44,TRUNK,fppgcny,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
49f454c4-fcb5-45a6-88c8-30ac3c42b594,45,TRUNK,d7bs3c7,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
0e25754a-a7eb-405b-ac8d-f91d3e8b7600,48,TRUNK,2a4vz38,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
ced92859-ae66-4129-8d1e-370a288bf5eb,54,TRUNK,3gd5f8p,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
ef48291e-9550-4b24-9ef8-12cfcc657e98,61,TRUNK,2jut3ds,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
33cb6f78-401d-47d9-a35d-e20ea30cb489,62,TRUNK,r9bmm9a,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
85017f5b-c840-46bf-a11a-56df1473001e,101,TRUNK,dd5h3tu,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
6b57ec30-adc6-411a-aa9a-7af7a2a0e805,107,TRUNK,txjfdqs,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
7f3c3a30-4ba8-4ce1-aec9-3412636205f5,146,TRUNK,ejhm4ps,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
8fdf0e7a-2df0-429a-8a8c-b446e67250d3,114,TRUNK,wzmyd2d,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
01fc69cd-aac5-405a-9495-cc205482577a,130,TRUNK,psmd4rf,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
8c2ab825-18bb-48cf-a6da-ed14133a069c,305,TRUNK,k37wnuu,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
f1042e57-b12b-4b16-95d6-41d25359c99c,170,TRUNK,3kp2uyh,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
7eef017f-3677-476a-b1df-60435316276b,172,TRUNK,gc2aqqa,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
c8cec55b-a9d7-4437-9196-829204d708e1,172,TRUNK,pdtjgvg,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
18606103-9655-45c4-9f0d-94fcb1936c40,175,TRUNK,3y5r7gd,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
85ad8b57-aad7-4974-b000-b9add9595581,175,TRUNK,chxkbx3,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
b96f448c-c327-4d61-b687-b0f14eae7999,186,TRUNK,8xp9z27,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
4de42bd9-4f58-4a29-b25b-b5f9b56ea65b,197,TRUNK,xs3nu98,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
cd53c028-d741-4b77-ad8a-405fac6d0dfe,199,TRUNK,7zr9xs8,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
a51c17b4-851b-452d-a147-277871519d6f,200,TRUNK,f8zk7xk,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
5d168f40-f999-4ea2-92fb-53238b5f959c,201,TRUNK,s7nmdav,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
30439d0d-53a5-48f1-9715-a9d84b3849d5,205,TRUNK,k3n599r,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
1006ad1a-6e0a-4312-bd40-2afebc792518,69,TRUNK,2g35g9e,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
7066fd8c-e134-4bbf-9d21-3c3d04959a01,206,TRUNK,mxcecpp,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
559fa2cd-9fdc-4d06-88e8-04ac780192c0,210,TRUNK,2f8bnvw,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
709347c4-0322-4e3b-b004-dc01e8345722,210,TRUNK,ew53674,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
0b3995fb-411f-469b-81db-e22db486d8a3,219,TRUNK,3zjfe3x,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
eebad343-c195-4923-aeca-5b7b374458d2,219,TRUNK,ec4h3q7,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
a0b58d9f-43b2-4832-919c-fc0c29fa9d26,225,TRUNK,e7frfut,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
9afde87f-a453-48e4-92ec-8cfa5dd3a591,233,TRUNK,mhrknuf,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
fab97ee0-3051-4944-a273-0ba1cc9a6378,234,TRUNK,nwa2esb,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
ef5afa71-d98c-487e-97f0-c7ceb3e0fe18,235,TRUNK,qfx25rv,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
cb4da1f2-b642-43d5-af44-16d83888984a,235,TRUNK,3hqdreq,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
a29af4c8-f965-42fe-bc2e-1c95eeb49d79,235,TRUNK,s9qqv66,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
149a6ea0-0696-4302-910d-ee7e20ca20fa,250,TRUNK,b5e699v,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
2a98cede-9965-4de3-920a-dd00aa8ef97c,253,TRUNK,vtx64fq,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
20427ec5-3841-4d54-b294-064590bfb79a,269,TRUNK,2xancfy,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
59890b7c-fbd8-4df5-a6f7-b8b9b3341600,279,TRUNK,m3r5mfn,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
254a52cc-d5e7-435a-b404-b68108b65020,303,TRUNK,dh2shym,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
537e45dd-57fd-4ccb-b9ba-e48290e4ed9f,313,TRUNK,8zgvu3t,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
8fefa711-2d48-4395-99ac-454550d12777,318,TRUNK,2b72bgj,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
1f63990b-930e-4fed-b492-08ff8524c6aa,335,TRUNK,7yukh6w,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
f1f3beea-cb44-49c8-ad1e-1c298854c359,347,TRUNK,emkj3tv,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
188c77a1-3bdd-4c2b-8162-f3b40fd92bb0,362,TRUNK,597ttmj,t,1,trunk-import,2026-04-09 13:42:24.841686+00,trunk-import,2026-04-09 13:42:24.841686+00
